Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
850067,2019-12-15 14:19:08,4424338559877976,fraud_Jakubowski Group,food_dining,17.51,Denise,Barnett,F,23220 Eaton Harbors,Kirby,OH,43330,40.813,-83.4196,118,Private music teacher,1957-11-12,bb6c49dbc1dd26e67be209844dbe09fc,1355581148,40.044141,-84.04476700000001,0
413213,2019-07-06 08:06:10,4040099974063068803,"fraud_Mosciski, Gislason and Mertz",grocery_pos,92.45,Jeffrey,Lewis,M,24255 Bryan Square,Palermo,ND,58769,48.3396,-102.24,229,Administrator,1983-03-20,f5085c33f8600042b033d251a44d0176,1341561970,47.678540000000005,-101.578583,0
226761,2019-04-24 18:51:00,3583635130604947,fraud_Kuphal-Toy,food_dining,20.32,Crystal,Gamble,F,899 Michele View Suite 960,Philadelphia,PA,19149,40.0369,-75.0664,1526206,Structural engineer,1985-01-01,631fa50b0afc239fd9e4df2fd494bdac,1335293460,40.52371,-75.603989,0
1059131,2020-03-15 21:48:16,676248282243,fraud_Padberg-Sauer,home,67.56,Amanda,Wheeler,F,329 Emily Cape,Cape Coral,FL,33909,26.6939,-81.9452,156391,Higher education careers adviser,1968-02-09,b165df84a75c99940b912f5d9f4392cc,1363384096,27.095026,-81.006718,0
607499,2019-09-15 09:58:31,38199021865320,fraud_Barton Inc,grocery_pos,90.26,Jesse,Roberts,M,8415 Vaughn Squares Apt. 788,Acworth,NH,3601,43.196000000000005,-72.3001,477,Naval architect,1988-04-15,bf43331091a44cd3db81c93e832326ff,1347703111,43.275675,-73.184565,0
781987,2019-11-30 17:25:35,675945690716,"fraud_Casper, Hand and Zulauf",grocery_pos,74.3,Ellen,Smith,F,285 George Lake,Beaver Falls,PA,15010,40.7687,-80.3592,28425,Podiatrist,2000-06-09,e0fd0b98b52abd00d0191719c1d8b6ba,1354296335,40.455184,-80.301491,0
194961,2019-04-10 17:52:18,3597926034019603,"fraud_Medhurst, Cartwright and Ebert",personal_care,49.46,Derrick,Flores,M,83690 Nicholas Ports Apt. 846,Oakland,TN,38060,35.2229,-89.5518,9496,Furniture conservator/restorer,1993-03-23,d3c557a233f31554a4f8ab755c0b691d,1334080338,35.085646000000004,-89.662424,0
752248,2019-11-17 21:29:55,341546199006537,"fraud_Schiller, Blanda and Johnson",home,20.88,Mark,Brown,M,8580 Moore Cove,Wales,AK,99783,64.7556,-165.6723,145,"Administrator, education",1939-11-09,38aedacec480826db18ee02a158e84a0,1353187795,63.765575,-166.081843,0
312790,2019-05-31 14:02:28,3587960728692500,fraud_Conroy Ltd,shopping_pos,136.0,Kathy,Hughes,F,02110 Lucas Freeway Suite 517,Battle Creek,IA,51006,42.3327,-95.6045,1075,"Teacher, early years/pre",1997-01-02,7a9bc2482324a6078357f33e9a6e1613,1338472948,41.823597,-96.270485,0
445027,2019-07-16 23:42:42,4708992452821239,"fraud_Roberts, Ryan and Smith",personal_care,177.19,Jared,Walters,M,3326 Hannah Fords,Cord,AR,72524,35.8184,-91.3375,376,"Designer, ceramics/pottery",1938-09-08,631403949a60dd60170aea9280c59ed1,1342482162,35.213684,-91.978867,0
918523,2019-12-30 12:35:05,6011724471098086,"fraud_McDermott, Osinski and Morar",home,113.22,Ann,Lawson,F,144 Evans Islands Apt. 683,Burbank,WA,99323,46.1966,-118.9017,3684,Musician,1981-11-29,29e1456be2029b4b5845f03122c64e2c,1356870905,46.666944,-119.199249,0
721937,2019-11-04 07:26:24,377026671291680,fraud_Harber Inc,gas_transport,50.18,Jackie,Davis,F,1898 Parker Fork Apt. 057,Redford,MO,63665,37.3272,-91.0243,241,Investment analyst,1974-10-27,4b63e4147b250b9489b4ae630c1e6828,1352013984,38.137357,-91.861469,0
628308,2019-09-23 20:54:59,375974680629816,fraud_Cormier LLC,health_fitness,15.63,Roberta,Mccarthy,F,94431 Matthew Mall Suite 296,Plymouth,CT,6782,41.6611,-73.0449,2376,Herpetologist,1973-04-06,01b0acdfc55729ebd902826bd7682070,1348433699,40.942222,-73.46230600000001,0
15095,2019-01-09 15:53:05,180081032825079,fraud_Brown-Greenholt,entertainment,14.26,Connie,Carroll,F,872 Justin Views Suite 746,Duncan,MS,38740,34.047,-90.7652,466,Trading standards officer,1955-04-03,f969cc5152e061639f649409bd53934c,1326124385,34.865383,-90.549485,0
182897,2019-04-05 19:39:08,3551217896304745,fraud_Thiel-Thiel,entertainment,60.07,Sara,Harris,F,597 Jenny Ford Apt. 543,Tupper Lake,NY,12986,44.232,-74.4905,6120,Chartered loss adjuster,1976-10-09,bfb148025dfda9a8d39df99a482ba559,1333654748,43.928411,-74.03618900000001,0
1071794,2020-03-21 13:28:14,30270432095985,fraud_Pollich LLC,home,106.92,Lisa,Lin,F,908 Brooks Brook,Lomax,IL,61454,40.6761,-91.0391,725,Environmental consultant,1972-11-28,53da2218716303032f274a9a79b35298,1363872494,40.980264,-90.486916,0
